disease,pathway_name,jaccard_index
KEGG_ACUTE_MYELOID_LEUKEMIA,KEGG_MAPK_SIGNALING_PATHWAY,[0.06930693069306931]
KEGG_ACUTE_MYELOID_LEUKEMIA,KEGG_CELL_CYCLE,[0.01675977653631285]
KEGG_ACUTE_MYELOID_LEUKEMIA,KEGG_MTOR_SIGNALING_PATHWAY,[0.1978021978021978]
KEGG_ACUTE_MYELOID_LEUKEMIA,KEGG_PI3K_AKT_SIGNALING_PATHWAY,[0.09399477806788512]
KEGG_ACUTE_MYELOID_LEUKEMIA,KEGG_APOPTOSIS,[0.13385826771653545]
KEGG_ACUTE_MYELOID_LEUKEMIA,KEGG_JAK_STAT_SIGNALING_PATHWAY,[0.10416666666666667]
KEGG_ACUTE_MYELOID_LEUKEMIA,KEGG_HEMATOPOIETIC_CELL_LINEAGE,[0.014084507042253521]
KEGG_ALZHEIMERS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,[0.41232227488151657]
KEGG_ALZHEIMERS_DISEASE,KEGG_PROTEASOME,[0.0]
KEGG_ALZHEIMERS_DISEASE,KEGG_CALCIUM_SIGNALING_PATHWAY,[0.10967741935483871]
KEGG_ALZHEIMERS_DISEASE,KEGG_APOPTOSIS,[0.09523809523809523]
KEGG_ALZHEIMERS_DISEASE,KEGG_WNT_SIGNALING_PATHWAY,[0.04276315789473684]
KEGG_ALZHEIMERS_DISEASE,KEGG_INSULIN_SIGNALING_PATHWAY,[0.034129692832764506]
KEGG_ALZHEIMERS_DISEASE,KEGG_AGE_RAGE_SIGNALING_PATHWAY,[0.03488372093023256]
KEGG_COLORECTAL_CANCER,KEGG_MAPK_SIGNALING_PATHWAY,[0.08223684210526316]
KEGG_COLORECTAL_CANCER,KEGG_ERBB_SIGNALING_PATHWAY,[0.20161290322580644]
KEGG_COLORECTAL_CANCER,KEGG_CELL_CYCLE,[0.05649717514124294]
KEGG_COLORECTAL_CANCER,KEGG_P53_SIGNALING_PATHWAY,[0.04838709677419355]
KEGG_COLORECTAL_CANCER,KEGG_MTOR_SIGNALING_PATHWAY,[0.14]
KEGG_COLORECTAL_CANCER,KEGG_PI3K_AKT_SIGNALING_PATHWAY,[0.06]
KEGG_COLORECTAL_CANCER,KEGG_APOPTOSIS,[0.13740458015267176]
KEGG_COLORECTAL_CANCER,KEGG_WNT_SIGNALING_PATHWAY,[0.12698412698412698]
KEGG_COLORECTAL_CANCER,KEGG_TGF_BETA_SIGNALING_PATHWAY,[0.08823529411764706]
KEGG_DILATED_CARDIOMYOPATHY,KEGG_CARDIAC_MUSCLE_CONTRACTION,[0.26119402985074625]
KEGG_DILATED_CARDIOMYOPATHY,KEGG_TGF_BETA_SIGNALING_PATHWAY,[0.023255813953488372]
KEGG_DILATED_CARDIOMYOPATHY,KEGG_ECM_RECEPTOR_INTERACTION,[0.14473684210526316]
KEGG_DILATED_CARDIOMYOPATHY,KEGG_VIRAL_MYOCARDITIS,[0.0738255033557047]
KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,[0.3832599118942731]
